id,info
26,"{""ulan"": null, ""gender"": ""Female"", ""end_date"": 2000, ""wiki_qid"": null, ""artist_bio"": ""American, 1941–2000"", ""begin_date"": 1941, ""nationality"": ""American"", ""display_name"": ""Dana Atchley"", ""constituent_id"": 31}"
27,"{""ulan"": null, ""gender"": null, ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""French"", ""begin_date"": 0, ""nationality"": ""French"", ""display_name"": ""Atelier Eggers"", ""constituent_id"": 32}"
28,"{""ulan"": null, ""gender"": null, ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American"", ""begin_date"": 0, ""nationality"": ""American"", ""display_name"": ""A.A.P."", ""constituent_id"": 33}"
29,"{""ulan"": 500002617, ""gender"": ""Male"", ""end_date"": 1976, ""wiki_qid"": ""Q82840"", ""artist_bio"": ""Finnish, 1898–1976"", ""begin_date"": 1898, ""nationality"": ""Finnish"", ""display_name"": ""Alvar Aalto"", ""constituent_id"": 34}"
30,"{""ulan"": 500024110, ""gender"": ""Female"", ""end_date"": 1949, ""wiki_qid"": ""Q273511"", ""artist_bio"": ""Finnish, 1894–1949"", ""begin_date"": 1894, ""nationality"": ""Finnish"", ""display_name"": ""Aino Aalto"", ""constituent_id"": 35}"
31,"{""ulan"": 500270610, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q707025"", ""artist_bio"": ""Finnish, born 1932"", ""begin_date"": 1932, ""nationality"": ""Finnish"", ""display_name"": ""Eero Aarnio"", ""constituent_id"": 36}"
32,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 2008, ""wiki_qid"": null, ""artist_bio"": ""American, 1921–2008"", ""begin_date"": 1921, ""nationality"": ""American"", ""display_name"": ""Jules Aarons"", ""constituent_id"": 37}"
33,"{""ulan"": 500084577, ""gender"": ""Female"", ""end_date"": 2017, ""wiki_qid"": ""Q158080"", ""artist_bio"": ""Polish, 1930–2017"", ""begin_date"": 1930, ""nationality"": ""Polish"", ""display_name"": ""Magdalena Abakanowicz"", ""constituent_id"": 38}"
34,"{""ulan"": 500026671, ""gender"": ""Male"", ""end_date"": 1973, ""wiki_qid"": ""Q321301"", ""artist_bio"": ""American, 1883–1973"", ""begin_date"": 1883, ""nationality"": ""American"", ""display_name"": ""James Abbe"", ""constituent_id"": 39}"
35,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1953, ""wiki_qid"": null, ""artist_bio"": ""Palestinian, 1888–1953"", ""begin_date"": 1888, ""nationality"": ""Palestinian"", ""display_name"": ""Jussuf Abbo"", ""constituent_id"": 40}"
36,"{""ulan"": 500020631, ""gender"": ""Female"", ""end_date"": 1991, ""wiki_qid"": ""Q231861"", ""artist_bio"": ""American, 1898–1991"", ""begin_date"": 1898, ""nationality"": ""American"", ""display_name"": ""Berenice Abbott"", ""constituent_id"": 41}"
37,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1971, ""wiki_qid"": null, ""artist_bio"": ""Japanese, 1913–1971"", ""begin_date"": 1913, ""nationality"": ""Japanese"", ""display_name"": ""Nobuya Abe"", ""constituent_id"": 42}"
38,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Japanese, born 1900"", ""begin_date"": 1900, ""nationality"": ""Japanese"", ""display_name"": ""Abe Shiro (pen Name: Suichiku)"", ""constituent_id"": 43}"
39,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q7341326"", ""artist_bio"": ""American, born 1937"", ""begin_date"": 1937, ""nationality"": ""American"", ""display_name"": ""Robert Abel"", ""constituent_id"": 44}"
40,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1934"", ""begin_date"": 1934, ""nationality"": ""American"", ""display_name"": ""Sigmund Abeles"", ""constituent_id"": 46}"
41,"{""ulan"": 500031964, ""gender"": ""Male"", ""end_date"": 2010, ""wiki_qid"": ""Q78819"", ""artist_bio"": ""American, born Austria. 1933–2010"", ""begin_date"": 1933, ""nationality"": ""American"", ""display_name"": ""Raimund Abraham"", ""constituent_id"": 47}"
42,"{""ulan"": 500012378, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q11714362"", ""artist_bio"": ""British, born 1935"", ""begin_date"": 1935, ""nationality"": ""British"", ""display_name"": ""Ivor Abrahams"", ""constituent_id"": 49}"
43,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 2011, ""wiki_qid"": null, ""artist_bio"": ""British, born South Africa. 1928–2011"", ""begin_date"": 1928, ""nationality"": ""British"", ""display_name"": ""Gerald Abramovitz"", ""constituent_id"": 50}"
44,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 2007, ""wiki_qid"": null, ""artist_bio"": ""American, 1920–2007"", ""begin_date"": 1920, ""nationality"": ""American"", ""display_name"": ""William Ross Abrams"", ""constituent_id"": 51}"
45,"{""ulan"": 500118427, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q7357131"", ""artist_bio"": ""Guatemalan, born 1933"", ""begin_date"": 1933, ""nationality"": ""Guatemalan"", ""display_name"": ""Rodolfo Abularach"", ""constituent_id"": 52}"
46,"{""ulan"": 500014538, ""gender"": ""Male"", ""end_date"": 2017, ""wiki_qid"": ""Q433471"", ""artist_bio"": ""American, 1940–2017"", ""begin_date"": 1940, ""nationality"": ""American"", ""display_name"": ""Vito Acconci"", ""constituent_id"": 53}"
47,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1915"", ""begin_date"": 1915, ""nationality"": ""American"", ""display_name"": ""Milton Ackoff"", ""constituent_id"": 54}"
48,"{""ulan"": 500029028, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q7051892"", ""artist_bio"": ""British"", ""begin_date"": 0, ""nationality"": ""British"", ""display_name"": ""Norman Ackroyd"", ""constituent_id"": 55}"
49,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1994, ""wiki_qid"": null, ""artist_bio"": ""Colombian, 1904–1994"", ""begin_date"": 1904, ""nationality"": ""Colombian"", ""display_name"": ""Luis Alberto Acuña"", ""constituent_id"": 56}"
50,"{""ulan"": 500020748, ""gender"": ""Male"", ""end_date"": 1967, ""wiki_qid"": ""Q662900"", ""artist_bio"": ""French, 1904–1967"", ""begin_date"": 1904, ""nationality"": ""French"", ""display_name"": ""Henri Georges Adam"", ""constituent_id"": 57}"
51,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1881, ""wiki_qid"": null, ""artist_bio"": ""French, 1818–1881"", ""begin_date"": 1818, ""nationality"": ""French"", ""display_name"": ""Antoine Samuel Adam-Salomon"", ""constituent_id"": 58}"
52,"{""ulan"": 500013534, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q562139"", ""artist_bio"": ""Italian, born 1935"", ""begin_date"": 1935, ""nationality"": ""Italian"", ""display_name"": ""Valerio Adami"", ""constituent_id"": 59}"
53,"{""ulan"": 500026108, ""gender"": ""Male"", ""end_date"": 1984, ""wiki_qid"": ""Q60809"", ""artist_bio"": ""American, 1902–1984"", ""begin_date"": 1902, ""nationality"": ""American"", ""display_name"": ""Ansel Adams"", ""constituent_id"": 60}"
54,"{""ulan"": 500033075, ""gender"": ""Female"", ""end_date"": 0, ""wiki_qid"": ""Q4725709"", ""artist_bio"": ""American, born 1930"", ""begin_date"": 1930, ""nationality"": ""American"", ""display_name"": ""Alice Adams"", ""constituent_id"": 61}"
55,"{""ulan"": 500042367, ""gender"": ""Male"", ""end_date"": 2002, ""wiki_qid"": ""Q5134058"", ""artist_bio"": ""American, 1918–2002"", ""begin_date"": 1918, ""nationality"": ""American"", ""display_name"": ""Clinton Adams"", ""constituent_id"": 62}"
56,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1951, ""wiki_qid"": null, ""artist_bio"": ""British, 1864–1951"", ""begin_date"": 1864, ""nationality"": ""British"", ""display_name"": ""Dacres Adams"", ""constituent_id"": 63}"
57,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1948"", ""begin_date"": 1948, ""nationality"": ""American"", ""display_name"": ""Dennis Adams"", ""constituent_id"": 64}"
58,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1966, ""wiki_qid"": null, ""artist_bio"": ""American, 1897–1966"", ""begin_date"": 1897, ""nationality"": ""American"", ""display_name"": ""Kenneth M. Adams"", ""constituent_id"": 65}"
59,"{""ulan"": 500037036, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q1392710"", ""artist_bio"": ""American, born 1937"", ""begin_date"": 1937, ""nationality"": ""American"", ""display_name"": ""Robert Adams"", ""constituent_id"": 66}"
60,"{""ulan"": null, ""gender"": ""Female"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1950"", ""begin_date"": 1950, ""nationality"": ""American"", ""display_name"": ""Shelby Lee Adams"", ""constituent_id"": 67}"
61,"{""ulan"": 500074368, ""gender"": ""Male"", ""end_date"": 1988, ""wiki_qid"": ""Q361106"", ""artist_bio"": ""American, 1912–1988"", ""begin_date"": 1912, ""nationality"": ""American"", ""display_name"": ""Charles Addams"", ""constituent_id"": 68}"
62,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 2002, ""wiki_qid"": null, ""artist_bio"": ""American, 1916–2002"", ""begin_date"": 1916, ""nationality"": ""American"", ""display_name"": ""Allan Adler"", ""constituent_id"": 69}"
63,"{""ulan"": 500027359, ""gender"": ""Male"", ""end_date"": 1949, ""wiki_qid"": ""Q213726"", ""artist_bio"": ""Polish, 1895–1949"", ""begin_date"": 1895, ""nationality"": ""Polish"", ""display_name"": ""Jankel Adler"", ""constituent_id"": 70}"
64,"{""ulan"": 500044912, ""gender"": ""Female"", ""end_date"": 2000, ""wiki_qid"": ""Q7815833"", ""artist_bio"": ""American, 1915–2000"", ""begin_date"": 1915, ""nationality"": ""American"", ""display_name"": ""Virginia Admiral"", ""constituent_id"": 71}"
65,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Romanian, born 1910"", ""begin_date"": 1910, ""nationality"": ""Romanian"", ""display_name"": ""Pic Adrian"", ""constituent_id"": 72}"
66,"{""ulan"": 500032997, ""gender"": ""Male"", ""end_date"": 1987, ""wiki_qid"": ""Q3445734"", ""artist_bio"": ""British, 1927–1987"", ""begin_date"": 1927, ""nationality"": ""British"", ""display_name"": ""Roy Adzak"", ""constituent_id"": 74}"
67,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1948"", ""begin_date"": 1948, ""nationality"": ""American"", ""display_name"": ""Nicholas Africano"", ""constituent_id"": 76}"
68,"{""ulan"": 500014109, ""gender"": ""Male"", ""end_date"": 1976, ""wiki_qid"": ""Q388090"", ""artist_bio"": ""Italian, 1912–1976"", ""begin_date"": 1912, ""nationality"": ""Italian"", ""display_name"": ""Afro (Afro Basaldella)"", ""constituent_id"": 77}"
69,"{""ulan"": null, ""gender"": null, ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Russian"", ""begin_date"": 0, ""nationality"": ""Russian"", ""display_name"": ""Aftograf"", ""constituent_id"": 78}"
70,"{""ulan"": 500019224, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q276030"", ""artist_bio"": ""Israeli, born 1928"", ""begin_date"": 1928, ""nationality"": ""Israeli"", ""display_name"": ""Agam (Yaacov Agam)"", ""constituent_id"": 79}"
71,"{""ulan"": 500032736, ""gender"": ""Male"", ""end_date"": 1978, ""wiki_qid"": ""Q3853982"", ""artist_bio"": ""American, born Russia. 1896–1978"", ""begin_date"": 1896, ""nationality"": ""American"", ""display_name"": ""Mehemed Fehmy Agha"", ""constituent_id"": 80}"
72,"{""ulan"": null, ""gender"": ""Female"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1945"", ""begin_date"": 1945, ""nationality"": ""American"", ""display_name"": ""Kathleen Agnoli"", ""constituent_id"": 81}"
73,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1993, ""wiki_qid"": null, ""artist_bio"": ""American, 1913–1993"", ""begin_date"": 1913, ""nationality"": ""American"", ""display_name"": ""Peter Agostini"", ""constituent_id"": 82}"
74,"{""ulan"": 500345720, ""gender"": ""Male"", ""end_date"": 1894, ""wiki_qid"": ""Q2734214"", ""artist_bio"": ""French, 1827–1894"", ""begin_date"": 1827, ""nationality"": ""French"", ""display_name"": ""Olympe Aguado de las Marismas"", ""constituent_id"": 83}"
75,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 2013, ""wiki_qid"": null, ""artist_bio"": ""American, 1937–2013"", ""begin_date"": 1937, ""nationality"": ""American"", ""display_name"": ""Dongkuk S. Ahn"", ""constituent_id"": 84}"
76,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1978, ""wiki_qid"": null, ""artist_bio"": ""Finnish, 1904–1978"", ""begin_date"": 1904, ""nationality"": ""Finnish"", ""display_name"": ""Aarne Aho"", ""constituent_id"": 85}"
77,"{""ulan"": 500058307, ""gender"": ""Male"", ""end_date"": 1991, ""wiki_qid"": ""Q61191"", ""artist_bio"": ""German, 1922–1991"", ""begin_date"": 1922, ""nationality"": ""German"", ""display_name"": ""Otl Aicher (also known as Otto Aicher)"", ""constituent_id"": 86}"
78,"{""ulan"": 500043259, ""gender"": ""Male"", ""end_date"": 1999, ""wiki_qid"": ""Q3265338"", ""artist_bio"": ""American, born Hungary. 1901–1999"", ""begin_date"": 1901, ""nationality"": ""American"", ""display_name"": ""Lucien Aigner"", ""constituent_id"": 87}"
79,"{""ulan"": 500008108, ""gender"": ""Male"", ""end_date"": 1988, ""wiki_qid"": ""Q5606793"", ""artist_bio"": ""American, 1908–1988"", ""begin_date"": 1908, ""nationality"": ""American"", ""display_name"": ""Gregory Ain"", ""constituent_id"": 88}"
80,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1975, ""wiki_qid"": null, ""artist_bio"": ""British, 1906–1975"", ""begin_date"": 1906, ""nationality"": ""British"", ""display_name"": ""Edgar Ainsworth"", ""constituent_id"": 89}"
81,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1996, ""wiki_qid"": null, ""artist_bio"": ""Argentine, 1928–1996"", ""begin_date"": 1928, ""nationality"": ""Argentine"", ""display_name"": ""Roberto Aizenberg"", ""constituent_id"": 91}"
82,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Japanese, born 1940"", ""begin_date"": 1940, ""nationality"": ""Japanese"", ""display_name"": ""Kinji Akagawa"", ""constituent_id"": 92}"
83,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q7385596"", ""artist_bio"": ""Japanese, born 1942"", ""begin_date"": 1942, ""nationality"": ""Japanese"", ""display_name"": ""Ryoji Akiyama"", ""constituent_id"": 93}"
84,"{""ulan"": null, ""gender"": ""Female"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Kuwaiti, born 1939"", ""begin_date"": 1939, ""nationality"": ""Kuwaiti"", ""display_name"": ""Munira Al-Kazi"", ""constituent_id"": 94}"
85,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1969, ""wiki_qid"": null, ""artist_bio"": ""German, 1887–1969"", ""begin_date"": 1887, ""nationality"": ""German"", ""display_name"": ""Alastair (Hans H. Voight)"", ""constituent_id"": 95}"
86,"{""ulan"": 500012591, ""gender"": ""Female"", ""end_date"": 1994, ""wiki_qid"": ""Q86078"", ""artist_bio"": ""American, born Germany. 1899–1994"", ""begin_date"": 1899, ""nationality"": ""American"", ""display_name"": ""Anni Albers"", ""constituent_id"": 96}"
87,"{""ulan"": 500033049, ""gender"": ""Male"", ""end_date"": 1976, ""wiki_qid"": ""Q170071"", ""artist_bio"": ""American, born Germany. 1888–1976"", ""begin_date"": 1888, ""nationality"": ""American"", ""display_name"": ""Josef Albers"", ""constituent_id"": 97}"
88,"{""ulan"": null, ""gender"": ""Female"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American"", ""begin_date"": 0, ""nationality"": ""American"", ""display_name"": ""Beatrice Albert"", ""constituent_id"": 98}"
89,"{""ulan"": null, ""gender"": ""Female"", ""end_date"": 2012, ""wiki_qid"": null, ""artist_bio"": ""American, 1943–2012"", ""begin_date"": 1943, ""nationality"": ""American"", ""display_name"": ""Joan Albert"", ""constituent_id"": 99}"
90,"{""ulan"": 500016413, ""gender"": ""Male"", ""end_date"": 1983, ""wiki_qid"": ""Q1392676"", ""artist_bio"": ""American, 1897–1983"", ""begin_date"": 1897, ""nationality"": ""American"", ""display_name"": ""Ivan LeLorraine Albright"", ""constituent_id"": 100}"
91,"{""ulan"": null, ""gender"": null, ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Various"", ""begin_date"": 0, ""nationality"": null, ""display_name"": ""Album-miscellaneous"", ""constituent_id"": 101}"
92,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 2008, ""wiki_qid"": null, ""artist_bio"": ""American, 1917–2008"", ""begin_date"": 1917, ""nationality"": ""American"", ""display_name"": ""Albert Alcalay"", ""constituent_id"": 103}"
93,"{""ulan"": 500019879, ""gender"": ""Male"", ""end_date"": 1992, ""wiki_qid"": ""Q3611295"", ""artist_bio"": ""American, born Germany. 1910–1992"", ""begin_date"": 1910, ""nationality"": ""American"", ""display_name"": ""L. (Alfred Lewin Copley) Alcopley"", ""constituent_id"": 104}"
94,"{""ulan"": null, ""gender"": null, ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American"", ""begin_date"": 0, ""nationality"": ""American"", ""display_name"": ""A. Alcorn"", ""constituent_id"": 105}"
95,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""British, born 1943"", ""begin_date"": 1943, ""nationality"": ""British"", ""display_name"": ""Alan Aldridge"", ""constituent_id"": 106}"
96,"{""ulan"": 500027985, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q328248"", ""artist_bio"": ""Belgian, born 1927"", ""begin_date"": 1927, ""nationality"": ""Belgian"", ""display_name"": ""Pierre Alechinsky"", ""constituent_id"": 107}"
97,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 2020, ""wiki_qid"": null, ""artist_bio"": ""American, 1939-2020"", ""begin_date"": 1939, ""nationality"": ""American"", ""display_name"": ""Peter Alexander"", ""constituent_id"": 108}"
98,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Italian"", ""begin_date"": 0, ""nationality"": ""Italian"", ""display_name"": ""Carlo Alfano"", ""constituent_id"": 111}"
99,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born Puerto Rico 1928"", ""begin_date"": 1928, ""nationality"": ""American"", ""display_name"": ""José R. Alicea"", ""constituent_id"": 112}"
100,"{""ulan"": null, ""gender"": null, ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Italian"", ""begin_date"": 0, ""nationality"": ""Italian"", ""display_name"": ""Leopoldo and Guiseppe Alinari"", ""constituent_id"": 113}"
101,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1941"", ""begin_date"": 1941, ""nationality"": ""American"", ""display_name"": ""James Alinder"", ""constituent_id"": 114}"
102,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1969, ""wiki_qid"": null, ""artist_bio"": ""French, 1890–1969"", ""begin_date"": 1890, ""nationality"": ""French"", ""display_name"": ""Yves Alix"", ""constituent_id"": 115}"
103,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1984, ""wiki_qid"": null, ""artist_bio"": ""Dutch, 1900–1984"", ""begin_date"": 1900, ""nationality"": ""Dutch"", ""display_name"": ""Wobbe Alkema"", ""constituent_id"": 116}"
104,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1936"", ""begin_date"": 1936, ""nationality"": ""American"", ""display_name"": ""William Allan"", ""constituent_id"": 117}"
105,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1989, ""wiki_qid"": null, ""artist_bio"": ""American, born Russia. 1902–1989"", ""begin_date"": 1902, ""nationality"": ""American"", ""display_name"": ""Alexander Alland"", ""constituent_id"": 118}"
106,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1964"", ""begin_date"": 1964, ""nationality"": ""American"", ""display_name"": ""Harry Allen"", ""constituent_id"": 119}"
107,"{""ulan"": 500103769, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q1279401"", ""artist_bio"": ""American, born 1943"", ""begin_date"": 1943, ""nationality"": ""American"", ""display_name"": ""Terry Allen"", ""constituent_id"": 120}"
